,Item,Price,Precio_kilo,Internal code,Categoria 1,Categoria 2,urls
95,,"10,95","7,14 €",4078321,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/24078321-alimento-de-salmon-gato-esterilizado-perfect-fit-paquete-1400-g/
96,,"6,95","29,95 €",3718174,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/23718174-gulas-congeladas-sin-gluten-la-gula-del-norte-bandeja-190-g/
97,,"4,00","42,00 €",5234642,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25234642-snack-liquido-de-salmon-para-gato-vitakraft-pack-5x15-g/
98,,"4,25","11,99 €",5324898,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25324898-alimento-de-salmon-gato-adulto-edgardcooper-paquete-750-g/
99,,"9,99","44,75 €",3851587,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/23851587-cocochas-de-bacalao-desalado-alkorta-nature-bandeja-200-g/
100,,"4,60","11,04 €",529190,Alimentación,Platos preparados,https://supermercado.eroski.es/es/productdetail/8529190-pimientos-rellenos-de-bacalao-gambas-eroski-lata-240-g/
101,,"3,94","47,50 €",8860205,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/18860205-salmon-ahumado-eroski-sobre-100-g/
102,,"5,45","25,39 €",1571948,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/21571948-tartar-de-salmon-sushitake-bandeja-380-g/
103,,"9,85","4,37 €",5528969,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25528969-alimento-de-salmon-para-gato-gatynat-lata-400-g/
104,,"7,46",NA,5528720,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/25528720-alimento-para-perro-salmonremolacha-edgardcooper-saco-1-kg/
105,,"5,15","33,17 €",4803991,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/24803991-snack-de-salmon-para-gato-vitakraft-paquete-60-g/
106,,"4,40","31,10 €",3107501,Alimentación,Conservas de pescado,https://supermercado.eroski.es/es/productdetail/23107501-lomos-de-bacalao-en-aceite-de-oliva-costa-vasca-frasco-200-g/
